# Format: word_en|hint_en|word_th|hint_th|image_search_terms
Elephant|Trunk|ช้าง|งวง|elephant animal trunk
Glasses|Lens|แว่นตา|เลนส์|eyeglasses spectacles vision
Sunglasses|Sun|แว่นกันแดด|แดด|sunglasses fashion sun
Backpack|Strap|เป้|สาย|backpack school bag hiking
Suitcase|Travel|กระเป๋าเดินทาง|เที่ยว|suitcase luggage travel
Map|Lost|แผนที่|หลง|map paper travel world
Passport|Stamp|พาสปอร์ต|ตรา|passport book travel
Ticket|Entry|ตั๋ว|เข้า|ticket concert event
Money|Coin|เงิน|เหรียญ|money cash banknotes
Credit Card|Chip|บัตรเครดิต|ชิป|credit card plastic visa
Ring|Finger|แหวน|นิ้ว|ring diamond finger jewelry
Necklace|Neck|สร้อยคอ|คอ|necklace gold jewelry
Earring|Ear|ต่างหู|หู|earrings jewelry stud
Bracelet|Wrist|กำไล|ข้อมือ|bracelet gold wrist
Lipstick|Mouth|ลิปสติก|ปาก|lipstick makeup red
Perfume|Scent|น้ำหอม|กลิ่น|perfume bottle fragrance
Soap|Bar|สบู่|ก้อน|soap bar washing
Shampoo|Hair|แชมพู|ผม|shampoo bottle hair
Toothbrush|Paste|แปรงสีฟัน|ยาสีฟัน|toothbrush plastic bristle
Toothpaste|Mint|ยาสีฟัน|มิ้นต์|toothpaste tube brush
Towel|Dry|ผ้าเช็ดตัว|แห้ง|towel bathroom folded
Toilet Paper|Roll|กระดาษชำระ|ม้วน|toilet paper roll tissue
Mirror|Reflection|กระจก|เงา|mirror wall reflection
Comb|Plastic|หวี|พลาสติก|comb hair styling plastic
Razor|Shave|มีดโกน|โกน|razor shaving blade
Chopsticks|Pair|ตะเกียบ|คู่|chopsticks wood asian food
Whisk|Egg|ตะกร้อมือ|ไข่|whisk kitchen tool
Grater|Cheese|ที่ขูด|ชีส|cheese grater metal
Peeler|Skin|ที่ปอก|เปลือก|vegetable peeler tool
Tray|Carry|ถาด|ถือ|serving tray food
Apron|Cook|ผ้ากันเปื้อน|ครัว|apron cooking chef
Teapot|Pour|กาน้ำชา|ริน|teapot ceramic tea
Jug|Water|เหยือก|น้ำ|jug water glass pitcher
Corkscrew|Wine|ที่เปิดขวด|ไวน์|corkscrew wine opener
Sponge|Wash|ฟองน้ำ|ล้าง|sponge cleaning yellow
Plunger|Toilet|ที่ปั๊มส้วม|ส้วม|plunger toilet tool
Hanger|Clothes|ไม้แขวนเสื้อ|เสื้อ|coat hanger clothes
Needle|Sharp|เข็ม|คม|needle sewing thread
Thread|Sew|ด้าย|เย็บ|thread spool sewing
Pin|Poke|เข็มหมุด|จิ้ม|push pin sewing
Rubber Band|Stretch|หนังยาง|ยืด|rubber bands elastic
Paperclip|Hold|คลิปหนีบกระดาษ|หนีบ|paperclip metal office
Stapler|Click|แม็ก|คลิก|stapler office stationery
Tape|Sticky|เทป|เหนียว|sticky tape roll dispenser
Glue|Stick|กาว|ติด|glue stick stick paper
Envelope|Letter|ซองจดหมาย|จดหมาย|envelope letter mail
Stamp|Post|แสตมป์|ส่ง|postage stamp mail
Postcard|Travel|โปสต์การ์ด|เที่ยว|postcard travel picture
Diary|Lock|ไดอารี่|ล็อก|diary notebook secret
Diploma|School|ปริญญาบัตร|โรงเรียน|diploma certificate degree
Trophy|Win|ถ้วยรางวัล|ชนะ|trophy cup gold winner
Medal|Gold|เหรียญรางวัล|ทอง|medal gold olympics
Badge|Police|ตรา|ตำรวจ|police badge metal sheriff
Helmet|Safe|หมวกกันน็อก|ปลอดภัย|helmet motorbike safety
Mask|Face|หน้ากาก|หน้า|mask face disguise
Goggles|Swim|แว่นว่ายน้ำ|ว่ายน้ำ|swimming goggles water
Cape|Hero|ผ้าคลุม|ฮีโร่|superhero cape red
Vest|Chest|เสื้อกั๊ก|อก|vest clothing safety
Shirt|Button|เสื้อเชิ้ต|กระดุม|shirt button down formal
T-shirt|Cotton|เสื้อยืด|ฝ้าย|t-shirt clothing plain
Pants|Jeans|กางเกง|ยีนส์|pants trousers clothing
Shorts|Summer|ขาสั้น|ร้อน|shorts clothing summer
Skirt|Girl|กระโปรง|หญิง|skirt clothing fashion
Dress|Gown|ชุดเดรส|ราตรี|dress fashion woman
Suit|Tie|สูท|ไท|suit business tuxedo
Coat|Winter|เสื้อโค้ท|หนาว|coat winter jacket
Jacket|Zipper|แจ็กเก็ต|ซิป|jacket clothing zip
Sweater|Wool|สเวตเตอร์|ไหมพรม|sweater knitted winter
Socks|Feet|ถุงเท้า|เท้า|socks clothing feet
Shoes|Lace|รองเท้า|เชือก|shoes sneakers running
Boots|Leather|บูท|หนัง|boots leather footwear
Sandals|Toe|รองเท้าแตะ|นิ้ว|sandals footwear summer
Hat|Head|หมวก|หัว|hat cap fashion
Scarf|Neck|ผ้าพันคอ|คอ|scarf winter neck
Gloves|Hand|ถุงมือ|มือ|gloves winter hands
Belt|Waist|เข็มขัด|เอว|belt leather waist
Pyjamas|Sleep|ชุดนอน|นอน|pyjamas sleepwear clothes
Bikini|Swim|บิกินี|ว่าย|bikini swimwear beach
Underwear|Bottom|กางเกงใน|ล่าง|underwear boxer briefs
Elephant Pants|Pattern|กางเกงช้าง|ลาย|elephant pants thailand
Guitar|String|กีตาร์|สาย|acoustic guitar musical instrument
Piano|Key|เปียโน|คีย์|piano keys grand
Drums|Stick|กลอง|ไม้|drum set musical instrument
Violin|Bow|ไวโอลิน|คันชัก|violin musical instrument
Flute|Blow|ขลุ่ย|เป่า|flute musical instrument silver
Trumpet|Brass|ทรัมเป็ต|ทองเหลือง|trumpet musical instrument brass
Saxophone|Jazz|แซกโซโฟน|แจ๊ส|saxophone musical instrument
Microphone|Sing|ไมโครโฟน|ร้อง|microphone stand singing
Stage|Play|เวที|แสดง|theater stage curtains
Harp|Angel|ฮาร์ป|นางฟ้า|harp musical instrument string
Accordion|Fold|แอคคอร์เดียน|พับ|accordion musical instrument
Banjo|Country|แบนโจ|ลูกทุ่ง|banjo musical instrument
Ukulele|Hawaii|อูคูเลเล่|ฮาวาย|ukulele musical instrument
Harmonica|Mouth|ฮาร์โมนิก้า|ปาก|harmonica musical instrument
Trombone|Slide|ทรอมโบน|เลื่อน|trombone musical instrument
Cello|Sit|เชลโล|นั่ง|cello musical instrument
Conductor|Stick|วาทยกร|ไม้|music conductor baton
Didgeridoo|Sound|ดิดเจอริดู|เสียง|didgeridoo instrument australia
Soccer|Kick|ฟุตบอล|เตะ|soccer ball sports
Basketball|Hoop|บาสเกตบอล|ห่วง|basketball ball hoop
Tennis|Racket|เทนนิส|ไม้|tennis racket ball court
Baseball|Bat|เบสบอล|ไม้|baseball bat ball glove
Golf|Club|กอล์ฟ|ไม้|golf club ball course
Volleyball|Net|วอลเลย์บอล|ตาข่าย|volleyball ball net game
Badminton|Birdie|แบดมินตัน|ลูกขนไก่|badminton racket shuttlecock
Rugby|Egg|รักบี้|ไข่|rugby ball sports
Boxing|Glove|มวย|นวม|boxing gloves ring
Swimming|Pool|ว่ายน้ำ|สระ|swimming pool race
Running|Track|วิ่ง|ลู่|running track race sprint
Cycling|Bike|ปั่นจักรยาน|จักรยาน|cycling race bicycle
Skiing|Snow|สกี|หิมะ|skiing snow mountain
Surfing|Wave|เซิร์ฟ|คลื่น|surfing surfboard wave
Skating|Ice|สเกต|น้ำแข็ง|ice skating figure skates
Yoga|Mat|โยคะ|เสื่อ|yoga pose mat exercise
Fishing|Rod|ตกปลา|เบ็ด|fishing rod fish lake
Hunting|Rifle|ล่าสัตว์|ปืน|hunting rifle forest camouflage
Camping|Tent|แคมป์|เต็นท์|camping tent fire outdoors
Muay Thai|Kick|มวยไทย|เตะ|muay thai boxing kick
Surfboard|Wave|กระดานโต้คลื่น|คลื่น|surfboard beach sand
Cricket|Bat|คริกเก็ต|ไม้|cricket bat ball stumps
Cards|Deck|ไพ่|สำรับ|playing cards deck ace
Chess|King|หมากรุก|ราชา|chess board pieces game
Dice|Cube|ลูกเต๋า|สี่เหลี่ยม|dice cubes numbers
Domino|Dot|โดมิโน|จุด|domino tiles game
Puzzle|Piece|จิ๊กซอว์|ชิ้น|jigsaw puzzle pieces
Lego|Block|เลโก้|บล็อก|lego bricks toys colorful
Balloon|Pop|ลูกโป่ง|แตก|balloons colorful party
Kite|String|ว่าว|เชือก|kite flying sky
Doll|Barbie|ตุ๊กตา|บาร์บี้|doll toy girl
Teddy Bear|Soft|ตุ๊กตาหมี|นุ่ม|teddy bear toy plush
Rubik's Cube|Puzzle|รูบิค|ปริศนา|rubiks cube puzzle toy
Tamagotchi|Pet|ทามาก็อตจิ|สัตว์เลี้ยง|tamagotchi toy digital
Fidget Spinner|Spin|ฟิดเจ็ตสปินเนอร์|หมุน|fidget spinner toy
Slime|Sticky|สไลม์|เหนียว|slime toy goo colorful
Play-Doh|Clay|แป้งโดว์|ดินน้ำมัน|play doh clay colorful
Action Figure|Hero|หุ่นฟิกเกอร์|ฮีโร่|action figure toy hero
Hot Wheels|Car|ฮอตวีล|รถ|hot wheels toy car
Nerf Gun|Foam|ปืนเนิร์ฟ|โฟม|nerf gun toy blaster
Water Gun|Wet|ปืนฉีดน้ำ|เปียก|water gun toy summer
Yo-yo|String|โยโย่|เชือก|yo yo toy string
Hula Hoop|Waist|ฮูลาฮูป|เอว|hula hoop toy waist
Pogo Stick|Jump|ไม้นาบ|กระโดด|pogo stick toy jump
Unicycle|One|จักรยานล้อเดียว|หนึ่ง|unicycle bike circus
Stilts|Tall|ไม้ต่อขา|สูง|stilts walking circus
Juggling Balls|Throw|ลูกบอลจuggling|โยน|juggling balls circus
Boombox|Music|วิทยุเทป|เพลง|boombox radio vintage 80s
Walkie Talkie|Radio|วิทยุสื่อสาร|วิทยุ|walkie talkie radio toy
Gameboy|Portable|เกมบอย|พกพา|gameboy nintendo portable
Nintendo Switch|Dock|นินเทนโดสวิตช์|แท่น|nintendo switch console
PlayStation|Console|เพลย์สเตชัน|เครื่องเกม|playstation console controller
Xbox|Green|เอ็กซ์บ็อกซ์|เขียว|xbox console controller
Tetris|Block|เตตริส|บล็อก|tetris game blocks
Pacman|Ghost|แพ็กแมน|ผี|pacman arcade game
Sonic|Hedgehog|โซนิค|เม่น|sonic the hedgehog game
Mario|Plumber|มาริโอ้|ช่างประปา|mario bros nintendo game
Luigi|Green|ลุยจิ|เขียว|luigi mario bros game
Pikachu|Electric|ปิกาจู|ไฟฟ้า|pikachu pokemon anime
Pokeball|Catch|โปเกบอล|จับ|pokeball pokemon toy
Creeper|Explode|ครีปเปอร์|ระเบิด|creeper minecraft game
Enderman|Teleport|เอนเดอร์แมน|วาร์ป|enderman minecraft game
Thanos|Snap|ธานอส|ดีดนิ้ว|thanos marvel gauntlet
Iron Man|Suit|ไอรอนแมน|ชุดเกราะ|iron man marvel hero
Hulk|Smash|ฮัลค์|ทุบ|hulk marvel green hero
Thor|Hammer|ธอร์|ค้อน|thor marvel hammer hero
Captain America|Shield|กัปตันอเมริกา|โล่|captain america shield hero
Spiderman|Web|สไปเดอร์แมน|ใย|spiderman marvel hero
Batman|Bat|แบทแมน|ค้างคาว|batman dc hero logo
Joker|Smile|โจ๊กเกอร์|ยิ้ม|joker dc villain face
Superman|Kryptonite|ซูเปอร์แมน|คริปโตไนต์|superman dc hero logo
Wonder Woman|Lasso|วันเดอร์วูแมน|บ่วง|wonder woman dc hero
Harry Potter|Scar|แฮร์รี่|แผลเป็น|harry potter movie character
Voldemort|Nose|วอลเดอมอร์|จมูก|voldemort harry potter villain
Yoda|Green|โยดา|เขียว|yoda star wars jedi
Darth Vader|Father|ดาร์ธเวเดอร์|พ่อ|darth vader star wars mask
Stormtrooper|Miss|สตอร์มทรูปเปอร์|ยิงพลาด|stormtrooper star wars helmet
Minion|Banana|มินเนี่ยน|กล้วย|minion movie character yellow
Shrek|Ogre|เชร็ค|ยักษ์|shrek movie character ogre
Elsa|Ice|เอลซ่า|น้ำแข็ง|elsa frozen movie princess
Mickey Mouse|Mouse|มิกกี้เมาส์|หนู|mickey mouse disney cartoon
Spongebob|Square|สพันจ์บ็อบ|สี่เหลี่ยม|spongebob squarepants cartoon
Scooby Doo|Dog|สกูบี้ดู|หมา|scooby doo cartoon dog
Sherlock Holmes|Pipe|เชอร์ล็อก|ยาสูบ|sherlock holmes detective pipe
James Bond|Spy|เจมส์บอนด์|สายลับ|james bond 007 suit spy
Godzilla|Monster|ก็อดซิลล่า|สัตว์ประหลาด|godzilla movie monster kaiju
King Kong|Gorilla|คิงคอง|กอริลลา|king kong movie monster
T-Rex|Arm|ทีเร็กซ์|แขน|t rex dinosaur jurassic
Pencil|Lead|ดินสอ|ไส้|pencil writing drawing
Pen|Ink|ปากกา|หมึก|pen writing ink
Paper|Sheet|กระดาษ|แผ่น|paper white sheet
Notebook|Write|สมุด|เขียน|notebook writing diary
Eraser|Rubber|ยางลบ|ยาง|eraser rubber stationery
Ruler|Measure|ไม้บรรทัด|วัด|ruler measuring stationery
Stapler|Metal|ที่เย็บ|เหล็ก|stapler office stationery
Calculator|Math|เครื่องคิดเลข|เลข|calculator math electronic
Whiteboard|Marker|ไวท์บอร์ด|ปากกา|whiteboard classroom marker
Desk|Wood|โต๊ะเรียน|ไม้|desk office wood
Wifi|Signal|ไวไฟ|สัญญาณ|wifi symbol icon signal
Internet|Web|อินเทอร์เน็ต|เว็บ|internet www globe icon
Email|Send|อีเมล|ส่ง|email icon envelope
Password|Secret|รหัสผ่าน|ลับ|password security lock
Virus|Sick|ไวรัส|ป่วย|computer virus bug screen
Hacker|Steal|แฮกเกอร์|ขโมย|hacker computer hoodie code
Bitcoin|Crypto|บิตคอยน์|คริปโต|bitcoin crypto coin
Google|Search|กูเกิล|ค้นหา|google logo search engine
Facebook|Social|เฟซบุ๊ก|สังคม|facebook logo app
Instagram|Photo|อินสตาแกรม|รูป|instagram logo app
YouTube|Video|ยูทูบ|วิดีโอ|youtube logo video
Netflix|Movie|เน็ตฟลิกซ์|หนัง|netflix logo streaming
Amazon|Shop|อเมซอน|ร้าน|amazon logo box delivery
Apple|Iphone|แอปเปิ้ล|ไอโฟน|apple logo tech
Windows|PC|วินโดวส์|พีซี|microsoft windows logo
Linux|Penguin|ลินุกซ์|เพนกวิน|linux tux penguin logo
Python|Code|ไพธอน|โค้ด|python programming logo snake
Java|Coffee|จาวา|กาแฟ|java programming logo cup
Database|SQL|ฐานข้อมูล|เอสคิวแอล|database server icon
Server|Rack|เซิร์ฟเวอร์|ตู้|server rack data center
Cloud Computing|Storage|ระบบคลาวด์|เก็บข้อมูล|cloud computing server network
Firewall|Block|ไฟร์วอลล์|บล็อก|firewall security computer wall
Bug|Error|บั๊ก|เออเร่อ|computer software bug glitch
Head|Hair|หัว|ผม|human head face anatomy
Face|Eye|หน้า|ตา|human face close up
Eye|See|ตา|เห็น|human eye blue close up
Ear|Hear|หู|ฟัง|human ear anatomy
Nose|Smell|จมูก|กลิ่น|human nose close up
Mouth|Eat|ปาก|กิน|human mouth lips smile
Tooth|Bite|ฟัน|กัด|human tooth white
Tongue|Taste|ลิ้น|รส|human tongue mouth
Neck|Throat|คอ|หลอดลม|human neck anatomy
Shoulder|Arm|ไหล่|แขน|human shoulder body
Arm|Elbow|แขน|ศอก|human arm muscle
Hand|Finger|มือ|นิ้ว|human hand palm five
Finger|Ring|นิ้ว|แหวน|human finger pointing
Thumb|Up|โป้ง|ขึ้น|thumbs up hand gesture
Chest|Lungs|อก|ปอด|human chest body man
Heart|Blood|หัวใจ|เลือด|human heart organ anatomy
Stomach|Food|ท้อง|อาหาร|human stomach organ anatomy
Back|Spine|หลัง|กระดูก|human back body spine
Leg|Knee|ขา|เข่า|human legs walking
Knee|Bend|เข่า|งอ|human knee joint
Foot|Shoe|เท้า|รองเท้า|human foot feet
Toe|Ten|นิ้วเท้า|สิบ|human toes feet
Bone|Skeleton|กระดูก|โครง|human bone white anatomy
Muscle|Strong|กล้ามเนื้อ|แรง|human muscle arm bicep
Skin|Touch|ผิวหนัง|สัมผัส|human skin texture
Brain|Mind|สมอง|จิต|human brain anatomy
Blood|Red|เลือด|แดง|blood cell red microscopic
Skeleton|Skull|โครงกระดูก|กะโหลก|skeleton human bones
Skull|Head|กะโหลก|หัว|human skull bone
Chin|Face|คาง|หน้า|human chin face
Cheek|Face|แก้ม|หน้า|human cheek face
Forehead|Top|หน้าผาก|บน|human forehead face
Eyebrow|Eye|คิ้ว|ตา|human eyebrow eye
Eyelash|Hair|ขนตา|ขน|human eyelash eye macro
Lip|Kiss|ริมฝีปาก|จูบ|human lips mouth red
Navel|Belly|สะดือ|ท้อง|human navel belly button
Waist|Belt|เอว|เข็มขัด|human waist body measuring
Hip|Dance|สะโพก|เต้น|human hip bone anatomy
Thigh|Leg|ต้นขา|ขา|human thigh leg muscle
Calf|Leg|น่อง|ขา|human calf leg muscle
Heel|Foot|ส้นเท้า|เท้า|human heel foot
Ankle|Foot|ข้อเท้า|เท้า|human ankle foot
Elbow|Bend|ข้อศอก|งอ|human elbow joint
Wrist|Watch|ข้อมือ|นาฬิกา|human wrist hand
Palm|Hand|ฝ่ามือ|มือ|human palm hand
Fist|Punch|กำปั้น|ต่อย|human fist punch hand
Freckle|Dot|กระ|จุด|freckles face skin
Scar|Cut|แผลเป็น|แผล|scar skin wound
Tattoo|Ink|รอยสัก|หมึก|tattoo art skin ink
Beard|Man|เครา|ชาย|beard hair man face
Mustache|Lip|หนวด|ปาก|mustache hair man face
Gold|Metal|ทอง|โลหะ|gold bars bullion
Silver|Coin|เงิน|เหรียญ|silver bars metal
Diamond|Ring|เพชร|แหวน|diamond gem shiny
Ruby|Red|ทับทิม|แดง|ruby gem red stone
Emerald|Green|มรกต|เขียว|emerald gem green stone
Iron|Magnet|เหล็ก|แม่เหล็ก|iron metal ore ingot
Steel|Hard|เหล็กกล้า|แข็ง|steel metal texture beams
Copper|Wire|ทองแดง|สายไฟ|copper pipes metal
Glass|Break|แก้ว|แตก|shattered glass texture
Wood|Tree|ไม้|ต้นไม้|wood texture plank grain
Plastic|Bottle|พลาสติก|ขวด|plastic bottles recycling
Paper|Tree|กระดาษ|ต้นไม้|paper texture sheet
Stone|Rock|หิน|ก้อน|stone rock texture
Brick|Wall|อิฐ|กำแพง|brick wall texture red
Sand|Grain|ทราย|เม็ด|sand beach texture dune
Dirt|Mud|ดิน|โคลน|dirt soil ground texture
Water|Liquid|น้ำ|ของเหลว|water liquid splash blue
Oil|Black|น้ำมัน|ดำ|crude oil liquid black
Gas|Car|แก๊ส|รถ|gasoline fuel pump
Electricity|Shock|ไฟฟ้า|ช็อต|electricity spark lightning
Fire|Hot|ไฟ|ร้อน|fire flames burning
Ice|Cold|น้ำแข็ง|เย็น|ice block frozen texture
Smoke|Cigarette|ควัน|บุหรี่|smoke wisp white
Steam|Boil|ไอน้ำ|เดือด|steam water vapor
Dust|Sneeze|ฝุ่น|จาม|dust particles air
Mud|Dirty|โคลน|สกปรก|mud puddle wet dirt
Christmas|Tree|คริสต์มาส|ต้นไม้|christmas tree decorated
Halloween|Pumpkin|ฮาโลวีน|ฟักทอง|halloween pumpkin jack o lantern
Easter|Egg|อีสเตอร์|ไข่|easter eggs basket
Valentine|Heart|วาเลนไทน์|หัวใจ|valentine heart red love
Birthday|Cake|วันเกิด|เค้ก|birthday party cake balloons
Wedding|Ring|งานแต่ง|แหวน|wedding bride groom ring
New Year|Firework|ปีใหม่|พลุ|new year fireworks celebration
Songkran|Water|สงกรานต์|น้ำ|songkran festival water gun
Loy Krathong|River|ลอยกระทง|แม่น้ำ|loy krathong festival thailand
Flag|Pole|ธง|เสา|flag pole waving
Map|World|แผนที่|โลก|world map globe earth
Globe|Round|ลูกโลก|กลม|globe earth desk
Compass|North|เข็มทิศ|เหนือ|compass navigation direction
Anchor|Ship|สมอ|เรือ|anchor ship metal heavy
Wheel|Round|ล้อ|กลม|wheel tire car rim
Engine|Car|เครื่องยนต์|รถ|car engine motor mechanic
Battery|Power|แบตเตอรี่|พลัง|battery power icon
Magnet|Pull|แม่เหล็ก|ดึง|magnet horseshoe red
Microscope|Zoom|กล้องจุลทรรศน์|ซูม|microscope lab science
Telescope|Star|กล้องโทรทรรศน์|ดาว|telescope astronomy space
Thermometer|Temp|เทอร์โมมิเตอร์|อุณหภูมิ|thermometer temperature hot
Scale|Weight|ตาชั่ง|น้ำหนัก|weighing scale bathroom weight
Calculator|Add|เครื่องคิดเลข|บวก|calculator electronic math
Clock|Time|นาฬิกา|เวลา|clock face time analog
Calendar|Date|ปฏิทิน|วันที่|calendar date month paper
Diary|Secret|ไดอารี่|ลับ|diary book personal journal
Letter|Envelope|จดหมาย|ซอง|letter envelope mail writing
Box|Cardboard|กล่อง|กระดาษ|cardboard box delivery
Bag|Plastic|ถุง|พลาสติก|shopping bag plastic paper
Bottle|Glass|ขวด|แก้ว|glass bottle empty clear
Can|Metal|กระป๋อง|เหล็ก|tin can food metal
Jar|Lid|โหล|ฝา|glass jar empty lid
Tube|Paste|หลอด|ยา|tube toothpaste paint
Packet|Chip|ซอง|ขนม|snack packet foil bag
Titanic|Ship|ไททานิค|เรือ|titanic ship sinking movie
Pyramids|Egypt|พีระมิด|อียิปต์|pyramids giza egypt desert
Eiffel Tower|Paris|ไอเฟล|ปารีส|eiffel tower paris france
Statue of Liberty|New York|เทพีเสรีภาพ|นิวยอร์ก|statue of liberty new york
Great Wall|China|กำแพงเมืองจีน|จีน|great wall of china
Taj Mahal|India|ทัชมาฮาล|อินเดีย|taj mahal india agra
Colosseum|Rome|โคลอสเซียม|โรม|colosseum rome italy
Big Ben|Clock|บิ๊กเบน|นาฬิกา|big ben london clock
Mount Everest|High|เอเวอเรสต์|สูง|mount everest mountain snow
Amazon|River|อเมซอน|แม่น้ำ|amazon river rainforest aerial
Sahara|Sand|ซาฮารา|ทราย|sahara desert sand dunes
Antarctica|Cold|แอนตาร์กติกา|หนาว|antarctica ice snow penguin
Nile|River|ไนล์|แม่น้ำ|nile river egypt aerial
Sunflower|Yellow|ดอกทานตะวัน|เหลือง|sunflower yellow flower
Tulip|Holland|ทิวลิป|ฮอลแลนด์|tulip flower field holland
Cactus|Thorn|กระบองเพชร|หนาม|cactus plant desert prickly
Orchid|Flower|กล้วยไม้|ดอกไม้|orchid flower purple thai
Lily|White|ดอกลิลลี่|ขาว|lily flower white blooming
Daisy|Flower|ดอกเดซี่|ดอกไม้|daisy flower white yellow
Pearl|Oyster|ไข่มุก|หอย|pearl white oyster shell
Coral|Reef|ปะการัง|แนว|coral reef underwater colorful
Sponge|Bob|ฟองน้ำ|บ็อบ|sea sponge ocean underwater
Viking|Ship|ไวกิ้ง|เรือ|viking warrior helmet ship
Samurai|Sword|ซามูไร|ดาบ|samurai warrior japan sword
Gladiator|Rome|แกลดิเอเตอร์|โรม|gladiator warrior rome helmet
Pharaoh|Egypt|ฟาโรห์|อียิปต์|pharaoh egypt king mask
Mummy|Bandage|มัมมี่|ผ้าพันแผล|mummy horror egypt wrapped
Sphinx|Riddle|สฟิงซ์|ปริศนา|sphinx egypt statue giza
Medusa|Snake|เมดูซ่า|งู|medusa greek mythology snakes
Zeus|Lightning|ซุส|สายฟ้า|zeus greek god lightning
Poseidon|Trident|โพไซดอน|สามง่าม|poseidon greek god ocean
Hercules|Strong|เฮอร์คิวลีส|แข็งแรง|hercules greek hero strong
Sheriff|Star|นายอำเภอ|ดาว|sheriff badge cowboy western
Cowboy|Horse|คาวบอย|ม้า|cowboy hat horse western
Sumo|Wrestler|ซูโม่|นักมวยปล้ำ|sumo wrestler japan fight
Geisha|Japan|เกอิชา|ญี่ปุ่น|geisha japan makeup kimono
Matador|Bull|มาทาดอร์|วัว|matador bullfight spain red
Leprechaun|Gold|เลปรีกอน|ทอง|leprechaun irish green gold
Elf|Shelf|เอลฟ์|ชั้นวาง|elf on the shelf christmas
Reindeer|Nose|กวางเรนเดียร์|จมูก|reindeer animal antlers rudolph
Snowman|Carrot|ตุ๊กตาหิมะ|แครอท|snowman snow winter carrot
Scarecrow|Bird|หุ่นไล่กา|นก|scarecrow field farm straw
Turkey|Thanksgiving|ไก่งวง|ขอบคุณพระเจ้า|turkey bird roast thanksgiving
Pilgrim|Hat|พิลกริม|หมวก|pilgrim hat thanksgiving history
Firework|Boom|ดอกไม้ไฟ|ตู้ม|fireworks night sky explosion
Confetti|Paper|กระดาษโปรย|กระดาษ|confetti colorful party paper
Disco Ball|Mirror|ดิสโก้บอล|กระจก|disco ball mirror party shiny
Opera|Sing|โอเปร่า|ร้อง|opera singer stage theater
Hip Hop|Rap|ฮิปฮอป|แร็ป|hip hop dancer music style
Bowling|Strike|โบว์ลิ่ง|สไตรค์|bowling ball pins lane
Hockey|Puck|ฮอกกี้|ลูกพัค|ice hockey player puck
Karate|Chop|คาราเต้|สับ|karate martial arts kick
Judo|Throw|ยูโด|ทุ่ม|judo martial arts throw
Kung Fu|Panda|กังฟู|แพนด้า|kung fu martial arts
Wrestling|Mask|มวยปล้ำ|หน้ากาก|pro wrestling ring fighters
Fencing|Sword|ฟันดาบ|ดาบ|fencing sport sword mask
Archery|Bow|ยิงธนู|ธนู|archery bow arrow target
Billiards|Ball|บิลเลียด|ลูก|billiards pool table balls
London|Bus|ลอนดอน|รถเมล์|london city big ben bus
Tokyo|Sushi|โตเกียว|ซูชิ|tokyo city japan neon
Paris|Tower|ปารีส|หอคอย|paris city eiffel tower
New York|Apple|นิวยอร์ก|แอปเปิ้ล|new york city skyline times square
Sydney|Opera|ซิดนีย์|โอเปร่า|sydney opera house australia
Rome|Pizza|โรม|พิซซ่า|rome colosseum italy city
Egypt|Pyramid|อียิปต์|พีระมิด|egypt pyramids sphinx desert
China|Wall|จีน|กำแพง|great wall china scenery
Japan|Anime|ญี่ปุ่น|อนิเมะ|japan mount fuji cherry blossom
Korea|K-pop|เกาหลี|เคป็อป|seoul korea city skyline
Thailand|Smile|ไทย|ยิ้ม|thailand grand palace bangkok
Brazil|Football|บราซิล|บอล|rio de janeiro christ statue
Mexico|Taco|เม็กซิโก|ทาโก้|mexico city pyramids colorful
India|Curry|อินเดีย|แกง|india taj mahal street
Italy|Pasta|อิตาลี|พาสต้า|italy venice canal gondola
France|Bread|ฝรั่งเศส|ขนมปัง|france paris scenery
Germany|Beer|เยอรมัน|เบียร์|germany neuschwanstein castle
Russia|Vodka|รัสเซีย|วอดก้า|moscow russia red square
Lungs|Breath|ปอด|หายใจ|human lungs anatomy
Bone|Dog|กระดูก|หมา|dog bone treat cartoon
Tooth|Fairy|ฟัน|นางฟ้า|tooth fairy cartoon cute
Nail|Polish|เล็บ|สี|fingernails manicure polish
Acrobat|Flex|นักกายกรรม|ยืด|acrobat circus gymnastics
Juggler|Ball|นักมายากล|บอล|juggler juggling balls circus
Mime|Silent|นักแสดงละครใบ้|เงียบ|mime artist face paint
Diver|Tank|นักประดาน้ำ|ถัง|scuba diver underwater ocean
Miner|Gold|คนงานเหมือง|ทอง|coal miner helmet underground
Lumberjack|Wood|คนตัดไม้|ไม้|lumberjack axe plaid shirt
Blacksmith|Iron|ช่างตีเหล็ก|เหล็ก|blacksmith anvil hammer fire
Florist|Flower|คนขายดอกไม้|ดอกไม้|florist flower shop bouquet
Janitor|Mop|ภารโรง|ไม้ถูพื้น|janitor cleaning mop bucket
Maid|Clean|แม่บ้าน|สะอาด|maid uniform cleaning duster
Butler|Serve|พ่อบ้าน|เสิร์ฟ|butler tuxedo tray serving
Coach|Whistle|โค้ช|นกหวีด|sports coach whistle clipboard
Referee|Card|กรรมการ|ใบ|referee red card sports
Hobbit|Ring|ฮอบบิท|แหวน|hobbit feet house shire
Chewbacca|Hairy|ชิวแบคคา|ขน|chewbacca star wars wookiee
Simba|Lion|ซิมบ้า|สิงโต|simba lion king disney
